fname,label
075591e8.wav,Bass_drum Electric_piano Gong 
0760a9e7.wav,Scissors Computer_keyboard Tearing 
076176f4.wav,Glockenspiel Fireworks Shatter 
0761d26b.wav,Applause Fireworks Glockenspiel 
07642d1b.wav,Acoustic_guitar Cello Telephone 
07682400.wav,Oboe Harmonica Clarinet 
076d3b6c.wav,Oboe Trumpet Saxophone 
0776b083.wav,Hi-hat Gunshot_or_gunfire Gong 
07776603.wav,Trumpet Oboe Harmonica 
0779cb34.wav,Microwave_oven Telephone Squeak 
077a7711.wav,Snare_drum Hi-hat Gunshot_or_gunfire 
0790d4f8.wav,Snare_drum Hi-hat Tambourine 
079367a7.wav,Flute Saxophone Clarinet 
07954767.wav,Bass_drum Electric_piano Snare_drum 
07989042.wav,Trumpet Saxophone Oboe 
0799369e.wav,Flute Clarinet Oboe 
079faac8.wav,Harmonica Meow Squeak 
07a8ddbf.wav,Hi-hat Shatter Gunshot_or_gunfire 
07ab0dcf.wav,Double_bass Cello Saxophone 
07b0fe34.wav,Fart Bass_drum Electric_piano 
07b9c04c.wav,Bass_drum Electric_piano Gong 
07bac4d1.wav,Hi-hat Gunshot_or_gunfire Tambourine 
07c4fd98.wav,Acoustic_guitar Glockenspiel Gong 
07c8463e.wav,Applause Laughter Squeak 
07c95625.wav,Squeak Violin_or_fiddle Flute 
07cf422e.wav,Acoustic_guitar Snare_drum Fireworks 
07cffb09.wav,Applause Gunshot_or_gunfire Laughter 
07d5cca9.wav,Clarinet Flute Oboe 
07d62787.wav,Saxophone Oboe Trumpet 
07dcd326.wav,Fart Gunshot_or_gunfire Fireworks 
07eef0c0.wav,Cello Clarinet Violin_or_fiddle 
07f06f30.wav,Bass_drum Snare_drum Electric_piano 
07f1dab7.wav,Hi-hat Gunshot_or_gunfire Shatter 
07fbde49.wav,Trumpet Clarinet Oboe 
0802d9ec.wav,Trumpet Saxophone Harmonica 
080b53cc.wav,Acoustic_guitar Glockenspiel Clarinet 
081fbfd3.wav,Shatter Keys_jangling Tearing 
082cd9fe.wav,Acoustic_guitar Squeak Shatter 
083bba3c.wav,Clarinet Flute Saxophone 
0841041b.wav,Acoustic_guitar Gong Electric_piano 
08426322.wav,Tearing Computer_keyboard Writing 
0844d331.wav,Flute Squeak Clarinet 
08593822.wav,Saxophone Clarinet Flute 
085a9c5b.wav,Cello Violin_or_fiddle Saxophone 
087248e6.wav,Flute Clarinet Saxophone 
087ed746.wav,Clarinet Saxophone Flute 
08854d8c.wav,Bass_drum Electric_piano Gong 
088bb565.wav,Violin_or_fiddle Cello Acoustic_guitar 
08904a43.wav,Gong Acoustic_guitar Violin_or_fiddle 
08911c36.wav,Burping_or_eructation Fart Gunshot_or_gunfire 
08941c53.wav,Bass_drum Knock Fireworks 
0894d11f.wav,Hi-hat Gunshot_or_gunfire Trumpet 
089f1097.wav,Trumpet Applause Writing 
089f44b1.wav,Computer_keyboard Squeak Applause 
08a82608.wav,Meow Flute Squeak 
08be795d.wav,Hi-hat Gong Shatter 
08c9a7f7.wav,Snare_drum Microwave_oven Knock 
08d23bb8.wav,Double_bass Cello Gong 
08d9501a.wav,Squeak Drawer_open_or_close Snare_drum 
08ddd56e.wav,Fart Hi-hat Gunshot_or_gunfire 
08e27974.wav,Shatter Tearing Fireworks 
08ecc0a1.wav,Gong Fireworks Electric_piano 
08f4b16b.wav,Tearing Fireworks Shatter 
08fcf830.wav,Glockenspiel Acoustic_guitar Electric_piano 
0921f1f2.wav,Acoustic_guitar Electric_piano Gong 
092a73e5.wav,Bass_drum Cello Knock 
092d89a0.wav,Double_bass Cello Acoustic_guitar 
093963d5.wav,Clarinet Saxophone Cello 
0943fc2d.wav,Bass_drum Electric_piano Gong 
09481a4c.wav,Bass_drum Electric_piano Snare_drum 
095428e8.wav,Cello Clarinet Violin_or_fiddle 
09553ca1.wav,Bass_drum Snare_drum Electric_piano 
095dd27c.wav,Microwave_oven Drawer_open_or_close Squeak 
0967cebd.wav,Saxophone Clarinet Oboe 
0969d9d1.wav,Clarinet Saxophone Cello 
096c3969.wav,Trumpet Harmonica Violin_or_fiddle 
096fd039.wav,Fart Tearing Squeak 
0976741c.wav,Acoustic_guitar Trumpet Snare_drum 
097cdef5.wav,Violin_or_fiddle Trumpet Cowbell 
0984ea36.wav,Double_bass Cello Acoustic_guitar 
0995f876.wav,Saxophone Clarinet Oboe 
09983766.wav,Telephone Squeak Shatter 
09a14a8e.wav,Tearing Writing Computer_keyboard 
09b3e21c.wav,Clarinet Acoustic_guitar Saxophone 
09c7044c.wav,Bass_drum Electric_piano Gong 
09c71587.wav,Cello Double_bass Gong 
09c8f697.wav,Double_bass Bass_drum Cello 
09c9b50b.wav,Saxophone Bark Trumpet 
09cba9de.wav,Saxophone Cello Clarinet 
09d0535a.wav,Fart Tearing Squeak 
09d2d1c0.wav,Saxophone Clarinet Oboe 
09e5a0ee.wav,Telephone Cello Double_bass 
09e83f2a.wav,Saxophone Clarinet Bark 
09eb9ddb.wav,Acoustic_guitar Cello Double_bass 
09ec3afd.wav,Bass_drum Electric_piano Snare_drum 
09f02a4a.wav,Fireworks Gong Gunshot_or_gunfire 
09f55e64.wav,Clarinet Acoustic_guitar Saxophone 
0a001dfe.wav,Saxophone Gong Double_bass 
0a00b1a8.wav,Gong Chime Glockenspiel 
0a0b26cc.wav,Bass_drum Electric_piano Gong 
0a23fde2.wav,Harmonica Laughter Squeak 
0a3d6e55.wav,Drawer_open_or_close Knock Squeak 
0a429107.wav,Glockenspiel Fireworks Hi-hat 
0a5cbf90.wav,Glockenspiel Acoustic_guitar Gong 
0a5f818e.wav,Laughter Meow Gong 
0a6219e5.wav,Double_bass Cello Gong 
0a67826b.wav,Bass_drum Double_bass Electric_piano 
0a695221.wav,Glockenspiel Hi-hat Finger_snapping 
0a6ecade.wav,Bass_drum Gong Knock 
0a71e42d.wav,Bass_drum Snare_drum Tambourine 
0a79ddf7.wav,Acoustic_guitar Glockenspiel Violin_or_fiddle 
0a7c7060.wav,Chime Microwave_oven Meow 
0a7fbd54.wav,Hi-hat Gong Gunshot_or_gunfire 
0a7ff75b.wav,Bass_drum Snare_drum Electric_piano 
0a848902.wav,Flute Clarinet Oboe 
0a8b7299.wav,Finger_snapping Cowbell Snare_drum 
0a8d849e.wav,Bass_drum Gong Double_bass 
0a979caf.wav,Clarinet Flute Saxophone 
0aaa4d2f.wav,Bass_drum Gong Electric_piano 
0aab4d0f.wav,Violin_or_fiddle Trumpet Harmonica 
0ab56675.wav,Acoustic_guitar Fart Bus 
0ab99db4.wav,Flute Saxophone Electric_piano 
0acc6947.wav,Double_bass Acoustic_guitar Cello 
0ace560e.wav,Saxophone Clarinet Gong 
0ace703f.wav,Cowbell Acoustic_guitar Gong 
0ad916a0.wav,Double_bass Cello Violin_or_fiddle 
0adf81d5.wav,Bark Trumpet Laughter 
0ae1945c.wav,Acoustic_guitar Cough Laughter 
0af843ea.wav,Cowbell Hi-hat Snare_drum 
0b0132c8.wav,Shatter Hi-hat Tambourine 
0b0427e2.wav,Acoustic_guitar Gong Knock 
0b07dc21.wav,Clarinet Saxophone Flute 
0b0df9a0.wav,Double_bass Gong Cello 
0b157a67.wav,Bass_drum Electric_piano Gong 
0b232eb1.wav,Bass_drum Electric_piano Gong 
0b244358.wav,Trumpet Oboe Saxophone 
0b273087.wav,Clarinet Saxophone Cello 
0b278db1.wav,Computer_keyboard Scissors Tearing 
0b2f18fa.wav,Applause Chime Squeak 
0b321436.wav,Bass_drum Snare_drum Electric_piano 
0b32ee85.wav,Cello Double_bass Acoustic_guitar 
0b38f744.wav,Hi-hat Cowbell Gong 
0b3c86c9.wav,Cough Writing Scissors 
0b430780.wav,Fireworks Acoustic_guitar Gunshot_or_gunfire 
0b495758.wav,Fart Fireworks Shatter 
0b4bb93c.wav,Tambourine Hi-hat Chime 
0b50d4c8.wav,Acoustic_guitar Gong Electric_piano 
0b58b074.wav,Cowbell Hi-hat Snare_drum 
0b58c7e9.wav,Clarinet Cello Saxophone 
0b5fb43f.wav,Acoustic_guitar Cello Laughter 
0b62b09f.wav,Clarinet Saxophone Flute 
0b752229.wav,Writing Laughter Drawer_open_or_close 
0b763e4f.wav,Oboe Trumpet Saxophone 
0b79fdea.wav,Hi-hat Gunshot_or_gunfire Tambourine 
0b7b694c.wav,Double_bass Cello Bass_drum 
0b8844bd.wav,Acoustic_guitar Electric_piano Gong 
0b8b79ad.wav,Squeak Computer_keyboard Bark 
0b8dfa34.wav,Saxophone Clarinet Flute 
0b9415cd.wav,Clarinet Flute Oboe 
0ba34dec.wav,Flute Clarinet Saxophone 
0baa37ed.wav,Hi-hat Squeak Telephone 
0bb6a21d.wav,Clarinet Flute Violin_or_fiddle 
0bb807c0.wav,Clarinet Saxophone Oboe 
0bc52ede.wav,Acoustic_guitar Gong Glockenspiel 
0bc8ad78.wav,Finger_snapping Fireworks Scissors 
0bc938fb.wav,Cello Double_bass Gong 
0bd5adf9.wav,Squeak Telephone Hi-hat 
0bdc064a.wav,Clarinet Flute Electric_piano 
0be5aa79.wav,Bass_drum Fart Gunshot_or_gunfire 
0be7620d.wav,Bass_drum Double_bass Knock 
0beb8325.wav,Violin_or_fiddle Cello Saxophone 
0bec9842.wav,Clarinet Saxophone Flute 
0befc5cb.wav,Bus Bark Acoustic_guitar 
0bf9fbd3.wav,Bass_drum Gong Electric_piano 
0c13feb9.wav,Cough Acoustic_guitar Laughter 
0c1bb3e9.wav,Flute Clarinet Oboe 
0c1fbece.wav,Trumpet Oboe Saxophone 
0c27bc2d.wav,Acoustic_guitar Cello Electric_piano 
0c31ca4c.wav,Flute Saxophone Clarinet 
0c3b5861.wav,Clarinet Flute Saxophone 
0c3dfac0.wav,Cello Clarinet Saxophone 
0c40bbb0.wav,Bass_drum Electric_piano Gong 
0c4de54a.wav,Violin_or_fiddle Clarinet Flute 
0c561099.wav,Oboe Trumpet Saxophone 
0c58f71a.wav,Clarinet Saxophone Flute 
0c654cc0.wav,Trumpet Oboe Harmonica 
0c6ccd3a.wav,Clarinet Saxophone Oboe 
0c7311f7.wav,Flute Clarinet Oboe 
0c736a0f.wav,Trumpet Saxophone Oboe 
0c7a124d.wav,Double_bass Clarinet Cello 
0c7a8b1b.wav,Clarinet Flute Chime 
0c7c51fa.wav,Double_bass Cello Knock 
0c8071a4.wav,Acoustic_guitar Bass_drum Telephone 
0c80cb97.wav,Trumpet Oboe Saxophone 
0c80f6dc.wav,Bass_drum Knock Gong 
0c91a6b2.wav,Harmonica Squeak Violin_or_fiddle 
0c9250b8.wav,Bass_drum Electric_piano Snare_drum 
0ca5bba6.wav,Hi-hat Cowbell Gong 
0cb0d029.wav,Burping_or_eructation Fart Laughter 
0cb48b8e.wav,Clarinet Flute Electric_piano 
0cb5b4a8.wav,Bass_drum Electric_piano Gong 
0cbe7e42.wav,Clarinet Flute Violin_or_fiddle 
0cc0af58.wav,Cello Acoustic_guitar Double_bass 
0cd0ec27.wav,Bass_drum Electric_piano Snare_drum 
0cd0f2ef.wav,Acoustic_guitar Bus Chime 
0ce09e4a.wav,Flute Saxophone Clarinet 
0ce127f9.wav,Finger_snapping Cowbell Hi-hat 
0ceaab13.wav,Bass_drum Knock Snare_drum 
0ceb2140.wav,Fireworks Bus Acoustic_guitar 
0cec29e8.wav,Clarinet Saxophone Violin_or_fiddle 
0cefa487.wav,Acoustic_guitar Gong Microwave_oven 
0cf2bcda.wav,Acoustic_guitar Cello Gong 
0cf319fa.wav,Clarinet Flute Saxophone 
0cf34718.wav,Saxophone Clarinet Flute 
0cf34f6e.wav,Squeak Drawer_open_or_close Computer_keyboard 
0d056139.wav,Snare_drum Telephone Tambourine 
0d1bf5b4.wav,Burping_or_eructation Laughter Scissors 
0d20e8f7.wav,Bass_drum Gong Electric_piano 
0d23dd3a.wav,Violin_or_fiddle Clarinet Flute 
0d242640.wav,Clarinet Saxophone Flute 
0d2d13b7.wav,Hi-hat Gong Cowbell 
0d34cc5a.wav,Gong Hi-hat Snare_drum 
0d415918.wav,Fireworks Applause Gunshot_or_gunfire 
0d449433.wav,Bass_drum Cello Knock 
0d4ca47e.wav,Cowbell Hi-hat Snare_drum 
0d5bb142.wav,Violin_or_fiddle Harmonica Trumpet 
0d6e2584.wav,Drawer_open_or_close Shatter Microwave_oven 
0d7549a4.wav,Electric_piano Saxophone Gong 
0d7f7f76.wav,Acoustic_guitar Electric_piano Gong 
0d89b6a4.wav,Clarinet Saxophone Cello 
0d8d0cbd.wav,Writing Tearing Gunshot_or_gunfire 
0d90d498.wav,Bass_drum Snare_drum Tambourine 
0d950fc6.wav,Bass_drum Snare_drum Electric_piano 
0d976b22.wav,Bass_drum Electric_piano Snare_drum 
0d98574f.wav,Violin_or_fiddle Saxophone Clarinet 
0d99cfde.wav,Harmonica Trumpet Violin_or_fiddle 
0d9de265.wav,Clarinet Saxophone Oboe 
0da2acf4.wav,Fart Bass_drum Electric_piano 
0da592f2.wav,Flute Clarinet Saxophone 
0daa7a68.wav,Bass_drum Knock Gong 
0db0fb36.wav,Drawer_open_or_close Fireworks Squeak 
0db21ee8.wav,Clarinet Saxophone Acoustic_guitar 
0db35f79.wav,Bass_drum Electric_piano Gong 
0db65bf4.wav,Clarinet Saxophone Cello 
0db6ac5f.wav,Violin_or_fiddle Oboe Trumpet 
0dbb37b3.wav,Acoustic_guitar Violin_or_fiddle Gong 
0dc193fe.wav,Tearing Shatter Scissors 
0dc7fd72.wav,Bass_drum Electric_piano Gong 
0dd0e034.wav,Violin_or_fiddle Cello Saxophone 
0dd68380.wav,Snare_drum Acoustic_guitar Cough 
0de4b9f0.wav,Double_bass Cello Acoustic_guitar 
0def8cc7.wav,Acoustic_guitar Glockenspiel Gong 
0df38dfd.wav,Cello Double_bass Acoustic_guitar 
0e06ba41.wav,Acoustic_guitar Bus Snare_drum 
0e12c15c.wav,Glockenspiel Fireworks Shatter 
0e1bd033.wav,Applause Laughter Harmonica 
0e23a6f4.wav,Writing Keys_jangling Scissors 
0e26ccc9.wav,Squeak Applause Fart 
0e2d428f.wav,Clarinet Gong Acoustic_guitar 
0e2ff60a.wav,Clarinet Saxophone Cello 
0e373704.wav,Oboe Flute Clarinet 
0e398b30.wav,Clarinet Flute Electric_piano 
